Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,Team,Position,Circuit,Code
VER,1,1,0 days 00:01:40.236000,,0 days 00:00:42.325000,0 days 00:00:24.389000,SOFT,4,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,2,0 days 00:01:37.880000,0 days 00:00:31.285000,0 days 00:00:42.269000,0 days 00:00:24.326000,SOFT,5,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,3,0 days 00:01:38.357000,0 days 00:00:31.499000,0 days 00:00:42.474000,0 days 00:00:24.384000,SOFT,6,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,4,0 days 00:01:38.566000,0 days 00:00:31.342000,0 days 00:00:42.674000,0 days 00:00:24.550000,SOFT,7,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,5,0 days 00:01:38.877000,0 days 00:00:31.498000,0 days 00:00:42.854000,0 days 00:00:24.525000,SOFT,8,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,6,0 days 00:01:38.940000,0 days 00:00:31.572000,0 days 00:00:42.759000,0 days 00:00:24.609000,SOFT,9,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,7,0 days 00:01:39.062000,0 days 00:00:31.637000,0 days 00:00:42.845000,0 days 00:00:24.580000,SOFT,10,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,8,0 days 00:01:39.092000,0 days 00:00:31.616000,0 days 00:00:42.875000,0 days 00:00:24.601000,SOFT,11,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,9,0 days 00:01:39.251000,0 days 00:00:31.625000,0 days 00:00:42.957000,0 days 00:00:24.669000,SOFT,12,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,10,0 days 00:01:39.392000,0 days 00:00:31.736000,0 days 00:00:43.051000,0 days 00:00:24.605000,SOFT,13,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,11,0 days 00:01:39.479000,0 days 00:00:31.749000,0 days 00:00:43.090000,0 days 00:00:24.640000,SOFT,14,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,12,0 days 00:01:39.410000,0 days 00:00:31.702000,0 days 00:00:43.076000,0 days 00:00:24.632000,SOFT,15,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,13,0 days 00:01:39.534000,0 days 00:00:31.809000,0 days 00:00:43.082000,0 days 00:00:24.643000,SOFT,16,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,14,0 days 00:01:42.050000,0 days 00:00:31.831000,0 days 00:00:43.137000,0 days 00:00:27.082000,SOFT,17,1,Red Bull Racing,2,Bahrain,BHR22
VER,1,16,0 days 00:01:36.905000,0 days 00:00:30.944000,0 days 00:00:41.970000,0 days 00:00:23.991000,SOFT,2,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,17,0 days 00:01:37.587000,0 days 00:00:30.898000,0 days 00:00:42.382000,0 days 00:00:24.307000,SOFT,3,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,18,0 days 00:01:37.717000,0 days 00:00:30.951000,0 days 00:00:42.567000,0 days 00:00:24.199000,SOFT,4,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,19,0 days 00:01:37.728000,0 days 00:00:31.192000,0 days 00:00:42.236000,0 days 00:00:24.300000,SOFT,5,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,20,0 days 00:01:38.257000,0 days 00:00:31.433000,0 days 00:00:42.521000,0 days 00:00:24.303000,SOFT,6,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,21,0 days 00:01:38.294000,0 days 00:00:31.331000,0 days 00:00:42.577000,0 days 00:00:24.386000,SOFT,7,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,22,0 days 00:01:38.243000,0 days 00:00:31.350000,0 days 00:00:42.566000,0 days 00:00:24.327000,SOFT,8,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,23,0 days 00:01:38.091000,0 days 00:00:31.240000,0 days 00:00:42.458000,0 days 00:00:24.393000,SOFT,9,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,24,0 days 00:01:38.187000,0 days 00:00:31.187000,0 days 00:00:42.582000,0 days 00:00:24.418000,SOFT,10,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,25,0 days 00:01:38.372000,0 days 00:00:31.252000,0 days 00:00:42.743000,0 days 00:00:24.377000,SOFT,11,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,26,0 days 00:01:38.476000,0 days 00:00:31.444000,0 days 00:00:42.584000,0 days 00:00:24.448000,SOFT,12,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,27,0 days 00:01:38.823000,0 days 00:00:31.415000,0 days 00:00:42.870000,0 days 00:00:24.538000,SOFT,13,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,28,0 days 00:01:38.782000,0 days 00:00:31.496000,0 days 00:00:42.824000,0 days 00:00:24.462000,SOFT,14,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,29,0 days 00:01:39.384000,0 days 00:00:31.569000,0 days 00:00:43.286000,0 days 00:00:24.529000,SOFT,15,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,30,0 days 00:01:41.537000,0 days 00:00:31.548000,0 days 00:00:43.074000,0 days 00:00:26.915000,SOFT,16,2,Red Bull Racing,2,Bahrain,BHR22
VER,1,32,0 days 00:01:36.527000,0 days 00:00:30.783000,0 days 00:00:41.843000,0 days 00:00:23.901000,MEDIUM,2,3,Red Bull Racing,4,Bahrain,BHR22
VER,1,33,0 days 00:01:36.347000,0 days 00:00:30.817000,0 days 00:00:41.723000,0 days 00:00:23.807000,MEDIUM,3,3,Red Bull Racing,4,Bahrain,BHR22
VER,1,34,0 days 00:01:36.384000,0 days 00:00:30.720000,0 days 00:00:41.701000,0 days 00:00:23.963000,MEDIUM,4,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,35,0 days 00:01:36.731000,0 days 00:00:30.946000,0 days 00:00:41.892000,0 days 00:00:23.893000,MEDIUM,5,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,36,0 days 00:01:36.920000,0 days 00:00:30.961000,0 days 00:00:41.889000,0 days 00:00:24.070000,MEDIUM,6,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,37,0 days 00:01:36.962000,0 days 00:00:30.907000,0 days 00:00:42.037000,0 days 00:00:24.018000,MEDIUM,7,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,38,0 days 00:01:36.898000,0 days 00:00:30.949000,0 days 00:00:41.961000,0 days 00:00:23.988000,MEDIUM,8,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,39,0 days 00:01:37.255000,0 days 00:00:31.111000,0 days 00:00:42.043000,0 days 00:00:24.101000,MEDIUM,9,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,40,0 days 00:01:37.308000,0 days 00:00:31.099000,0 days 00:00:42.070000,0 days 00:00:24.139000,MEDIUM,10,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,41,0 days 00:01:37.284000,0 days 00:00:31.044000,0 days 00:00:42.055000,0 days 00:00:24.185000,MEDIUM,11,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,42,0 days 00:01:37.855000,0 days 00:00:31.209000,0 days 00:00:42.500000,0 days 00:00:24.146000,MEDIUM,12,3,Red Bull Racing,2,Bahrain,BHR22
VER,1,43,0 days 00:01:39.787000,0 days 00:00:31.188000,0 days 00:00:42.249000,0 days 00:00:26.350000,MEDIUM,13,3,Red Bull Racing,2,Bahrain,BHR22
