Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,Team,Position,Circuit,Code
PIA,81,1,0 days 00:01:38.693000,,0 days 00:00:42.130000,0 days 00:00:23.956000,SOFT,4,1,McLaren,1,Bahrain,BHR25
PIA,81,2,0 days 00:01:37.492000,0 days 00:00:31.139000,0 days 00:00:42.343000,0 days 00:00:24.010000,SOFT,5,1,McLaren,1,Bahrain,BHR25
PIA,81,3,0 days 00:01:38.083000,0 days 00:00:31.306000,0 days 00:00:42.727000,0 days 00:00:24.050000,SOFT,6,1,McLaren,1,Bahrain,BHR25
PIA,81,4,0 days 00:01:38.133000,0 days 00:00:31.326000,0 days 00:00:42.796000,0 days 00:00:24.011000,SOFT,7,1,McLaren,1,Bahrain,BHR25
PIA,81,5,0 days 00:01:38.043000,0 days 00:00:31.305000,0 days 00:00:42.690000,0 days 00:00:24.048000,SOFT,8,1,McLaren,1,Bahrain,BHR25
PIA,81,6,0 days 00:01:38.363000,0 days 00:00:31.336000,0 days 00:00:42.880000,0 days 00:00:24.147000,SOFT,9,1,McLaren,1,Bahrain,BHR25
PIA,81,7,0 days 00:01:38.498000,0 days 00:00:31.448000,0 days 00:00:42.862000,0 days 00:00:24.188000,SOFT,10,1,McLaren,1,Bahrain,BHR25
PIA,81,8,0 days 00:01:38.567000,0 days 00:00:31.500000,0 days 00:00:42.865000,0 days 00:00:24.202000,SOFT,11,1,McLaren,1,Bahrain,BHR25
PIA,81,9,0 days 00:01:38.800000,0 days 00:00:31.521000,0 days 00:00:42.944000,0 days 00:00:24.335000,SOFT,12,1,McLaren,1,Bahrain,BHR25
PIA,81,10,0 days 00:01:38.549000,0 days 00:00:31.452000,0 days 00:00:42.868000,0 days 00:00:24.229000,SOFT,13,1,McLaren,1,Bahrain,BHR25
PIA,81,11,0 days 00:01:38.681000,0 days 00:00:31.426000,0 days 00:00:43.024000,0 days 00:00:24.231000,SOFT,14,1,McLaren,1,Bahrain,BHR25
PIA,81,12,0 days 00:01:39.028000,0 days 00:00:31.526000,0 days 00:00:43.156000,0 days 00:00:24.346000,SOFT,15,1,McLaren,1,Bahrain,BHR25
